"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Terminal Management","0","Create Terminal API","1","0","As an admin, I can create a terminal via API","0"
"0","Client Management","0","Create Client API","2","0","As an admin, I can create a new client record via API.","0"
"0","Client Management","0","Create Client Bank Account API","1","0","As a client, I can link my verified bank account token to my client profile.","0"
"0","Payment Gateway","0","Payment Token Session API","1","0","As a client, I can generate a secure payment token session for ACH or card transactions.","0"
"0","Payment Gateway","0","ACH Payment Charge API","1","0","As a client, I can process an ACH charge using a secure payment token session.","0"
"0","Client Management","0","Create Client Profile API","1","0","As an admin, I can create a client profile linked to merchant and location under an organization.","0"
"0","Processor Management","0","Create Processor API","1","0","As an admin, I can create a new processor via API","0"
"0","Merchant Management","0","Update Merchant API","1","0","As a user, I can update existing merchant details via API","0"
"0","Merchant Management","0","Create Merchant API","1","0","As an admin, I can create a new merchant via API","0"
"0","Payment Session Management","0","Create Payment Session Consumer API","1","0","As a user, I can create a new payment session consumer via API","0"
"0","Payment Gateway","2","Refund Payment API","0","0","As a client, I can initiate a payment refund using a valid ACH charge transaction ID and token.","0"
"0","Authentication & Authorization","0","Glofox Secure OAuth Token Flow","1","0","As a Glofox secure service, I can authenticate with secure credentials and obtain a valid OAuth token.","0"
"0","Payment Gateway","0","Create Bank Payment Token API","1","0","As a user, I can register a bank account and receive a token ID for secure storage.","0"
"0","Organization Management","0","Create Organization API","1","0","As an admin, I can create a new organization via API","0"
"0","Organization Management","0","Create Location API","1","0","As an admin, I can create a new location under an existing organization via API","0"
"0","Company Management","0","Create Company API","1","0","As an admin, I can create a company via API for payment processing configuration.","0"
