"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Payment Gateway","Payment Token Session API","As a client, I can generate a secure payment token session for ACH or card transactions.","0","0","1","0","0"
"Payment Gateway","ACH Payment Charge API","As a client, I can process an ACH charge using a secure payment token session.","0","0","1","0","0"
"Organization Management","Create Location API","As an admin, I can create a new location under an existing organization via API","0","0","1","0","0"
"Payment Gateway","Refund Payment API","As a client, I can initiate a payment refund using a valid ACH charge referenceId and token.","2","0","0","0","0"
"Organization Management","Create Organization API","As an admin, I can create a new organization via API","0","0","1","0","0"
"Client Management","Create Client Bank Account API","As a client, I can link my verified bank account token to my client profile.","0","0","1","0","0"
"Authentication & Authorization","OAuth Client Credentials Flow","As a system, I can authenticate using client credentials and retrieve a valid OAuth token.","0","0","1","0","0"
"Payment Gateway","Create Bank Payment Token API","As a user, I can register a bank account and receive a token ID for secure storage.","0","0","1","0","0"
"Merchant Management","Create Merchant API","As an admin, I can create a new merchant via API","0","0","1","0","0"
"Terminal Management","Create Terminal API","As an admin, I can create a terminal via API","0","0","1","0","0"
"Client Management","Create Client Profile API","As an admin, I can create a client profile linked to merchant and location under an organization.","0","0","1","0","0"
"Payment Session Management","Create Payment Session Consumer API","As a user, I can create a new payment session consumer via API","0","0","1","0","0"
"Processor Management","Create Processor API","As an admin, I can create a new processor via API","0","0","1","0","0"
"Authentication & Authorization","Glofox OAuth Token Flow","As a Glofox client, I can authenticate and retrieve a valid OAuth token for downstream API access.","0","0","1","0","0"
"Client Management","Create Client API","As an admin, I can create a new client record via API.","0","0","2","0","0"
"Authentication & Authorization","Glofox Secure OAuth Token Flow","As a Glofox secure service, I can authenticate with secure credentials and obtain a valid OAuth token.","0","0","1","0","0"
"Authentication & Authorization","Secure OAuth Client Credentials Flow","As a secure service client, I can authenticate using secure credentials and obtain an OAuth token.","0","0","1","0","0"
"Merchant Management","Update Merchant API","As a user, I can update existing merchant details via API","0","0","1","0","0"
"Company Management","Create Company API","As an admin, I can create a company via API for payment processing configuration.","0","0","1","0","0"
